TREENUM,SURVEYDATE,SPECIES_CODE,COMMONNAME,DBH1_in,TOTHT_ft,CROWNWIDTHNS_ft,CROWNWIDTHEW_ft,BOTANICAL,TreeStatus,CanopyRadius_ft
1,2012-08-07,ULS,elm spp,4.1,21,9,8,Ulmus,Active,4
2,2012-08-07,ULS,elm spp,4,23,12,11,Ulmus,Active,6
3,2012-08-07,FRCA,Carolina ash,5.2,19,16,18,Fraxinus caroliniana,Active,9
4,2012-08-07,ACBU,Trident maple,2.7,19,15,16,Acer buergerianum,Active,8
5,2012-08-07,COKO,Kousa dogwood,1,8,7,7,Cornus kousa,Active,4
6,2012-08-07,COKO,Kousa dogwood,1,8,7,6,Cornus kousa,Active,4
7,2012-08-07,LAIN,Common crapemyrtle,2.1,11,10,12,Lagerstroemia indica,Removed,6
8,2012-08-07,ACRU,Red maple,14,39,42,36,Acer rubrum,Active,21
9,2012-08-07,COKO,Kousa dogwood,6.1,24,19,15,Cornus kousa,Active,10
10,2012-08-07,COKO,Kousa dogwood,5.4,23,16,17,Cornus kousa,Active,8
11,2012-08-07,ILCO2,Chinese holly,1.5,11,7,10,Ilex cornuta,Active,5
12,2012-08-07,CAIL,Pecan,34.4,80,83,71,Carya illinoinensis,Active,42
13,2012-08-07,PIEL,Slash pine,16.8,56,36,44,Pinus elliottii,Active,22
14,2012-08-07,COKO,Kousa dogwood,2,8,6,8,Cornus kousa,Active,4
15,2012-08-07,COFL,Flowering dogwood,4.4,21,11,14,Cornus florida,Active,7
16,2012-08-07,COKO,Kousa dogwood,2.1,7,6,6,Cornus kousa,Active,3
17,2012-08-07,COFL,Flowering dogwood,1.9,7,6,6,Cornus florida,Active,3
18,2012-08-07,VISP2,viburnum spp,1.1,11,7,6,Viburnum,Active,4
19,2012-08-07,PRCA,Carolina laurelcherry,2.7,14,10,12,Prunus caroliniana,Active,6
20,2012-08-07,ULPA,Chinese elm,14.3,27,45,46,Ulmus parvifolia,Active,23
21,2012-08-07,ILVO,Yaupon,3.8,15,8,8,Ilex vomitoria,Active,4
22,2012-08-07,ILVO,Yaupon,1.8,12,8,6,Ilex vomitoria,Active,4
23,2012-08-07,PYAN,Southern crabapple,4.2,12,13,13,Malus angustifolia,Active,6
24,2012-08-07,ILOP,American holly,9.9,31,19,23,Ilex opaca,Active,12
25,2012-08-07,ILOP,American holly,10.8,48,21,19,Ilex opaca,Active,10
26,2012-08-07,COKO,Kousa dogwood,6.6,13,15,13,Cornus kousa,Active,8
27,2012-08-07,COKO,Kousa dogwood,8.2,18,16,17,Cornus kousa,Active,8
28,2012-08-07,CECA,Eastern redbud,2,10,8,7,Cercis canadensis,Active,4
29,2012-08-07,CECA,Eastern redbud,1.6,9,6,6,Cercis canadensis,Active,3
30,2012-08-07,CECA,Eastern redbud,1.8,11,8,8,Cercis canadensis,Active,4
31,2012-08-07,BENI,River birch,7.6,35,18,19,Betula nigra,Active,10
32,2012-08-07,BENI,River birch,8.9,42,21,18,Betula nigra,Active,10
33,2012-08-07,BENI,River birch,9.9,49,19,22,Betula nigra,Active,11
34,2012-08-07,BENI,River birch,13.2,50,29,25,Betula nigra,Active,14
35,2012-08-07,BENI,River birch,16.1,48,30,35,Betula nigra,Active,18
36,2012-08-07,BENI,River birch,11.5,44,32,35,Betula nigra,Active,18
37,2012-08-07,GIBI,Ginkgo,12.2,45,25,27,Ginkgo biloba,Active,14
38,2012-08-07,GIBI,Ginkgo,12,46,29,29,Ginkgo biloba,Active,14
39,2012-08-07,GIBI,Ginkgo,15.2,52,25,30,Ginkgo biloba,Active,15
40,2012-08-07,GIBI,Ginkgo,12,46,30,31,Ginkgo biloba,Active,16
41,2012-08-07,ACPA,Japanese maple,8.3,16,19,19,Acer palmatum,Active,10
42,2012-08-07,ACPA,Japanese maple,8.1,13,22,13,Acer palmatum,Active,11
43,2012-08-07,KOPA,Goldenrain tree,14.2,28,32,26,Koelreuteria paniculata,Active,16
