Date,Tree.Code,Scientific.Name,Common.Name,Breaking.Leafbuds,Canopy.Cover,Leaf.Size,Colored.Leaves,Lost.Leaves,Flower.Buds,Open.Flowers,Pollen,Fruits,Ripe.Fruits,Dropped.seeds
2020-02-03,12947,Carya tomentosa,Mockernut Hickory,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-10,12947,Carya tomentosa,Mockernut Hickory,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-17,12947,Carya tomentosa,Mockernut Hickory,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-02,12947,Carya tomentosa,Mockernut Hickory,Yes; 11-100,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-09,12947,Carya tomentosa,Mockernut Hickory,Yes; 11-100,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-17,12947,Carya tomentosa,Mockernut Hickory,Yes; 11-100,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-24,12947,Carya tomentosa,Mockernut Hickory,Yes; 3 to 10,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-03,12992,Sophora japonica,Japanese Pagoda,No,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-02-10,12992,Sophora japonica,Japanese Pagoda,No,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-02-17,12992,Sophora japonica,Japanese Pagoda,No,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-02-24,12992,Sophora japonica,Japanese Pagoda,No,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-03-09,12992,Sophora japonica,Japanese Pagoda,Yes; 11-100,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-03-17,12992,Sophora japonica,Japanese Pagoda,Yes; 11-100,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2020-03-02,12992,Sophora japonica,Japanese Pagoda,Yes; 3 to 10,<5%,NA,<5%,75%-94%,0,NA,NA,<3,<5%,0
2018-09-10,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,NA,<5%,25%-49%,0,NA,NA,<3,<5%,<3
2018-09-17,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,<5%,50%-74%,0,NA,NA,<3,<5%,<3
2018-09-17,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,<5%,50%-74%,0,NA,NA,<3,<5%,<3
2018-09-24,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,<5%,50%-74%,0,NA,NA,<3,<5%,<3
2018-10-01,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,<5%,50%-74%,0,NA,NA,<3,<5%,<3
2018-10-15,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,<5%,50%-74%,0,NA,NA,<3,<5%,<3
2018-11-27,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,<3
2018-09-06,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,95% or more,25%-49%,50%-74%,0,NA,NA,<3,<5%,<3
2018-10-22,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,NA,50%-74%,75%-94%,0,NA,NA,<3,<5%,<3
2018-10-29,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,50%-74%,95% or more,0,NA,NA,<3,<5%,<3
2018-11-05,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,75%-94%,95% or more,0,NA,NA,<3,<5%,<3
2018-11-12,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,95% or more,95% or more,0,NA,NA,<3,<5%,<3
2019-09-12,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,<5%,75%-94%,75%-94%,0,NA,NA,0,<5%,<3
2019-10-21,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,0,<5%,<3
2019-09-20,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,75%-94%,0,NA,NA,0,<5%,<3
2019-09-23,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-09-30,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-10-08,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-10-15,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-10-30,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-11-06,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
